# POI TotalCarbon Yield_Unbounded Yield_Blocked Yield_P70
BMP10 2123 0.3029394977 0.2796340039 0.0467919083
CAT 1175 0.3187737385 0.3051155544 0.1046066699
dCas9 2004 0.2940788026 0.2301530334 0.0507612917
deGFP 1140 0.3129289047 0.2113459399 0.0581322802
F2 3066 0.3054012999 0.2685939553 0.0309595725
F10 2376 0.3029066803 0.1987619207 0.03763877
FGF21 992 0.3322170127 0.265880461 0.0227025584
scFvR4 1230 0.3183229814 0.2480839048 0.0573706315
